"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Audiobooks in A1QA library","Audiobooks: Playback speed: Check of playback speed","3","1","0","0","0"
"","Book detail view screen","Check related books section in LYRASIS","7","1","0","0","0"
"","Audiobook in Lyrasis","Playback speed: Check of playback speed","7","9","0","0","0"
"","Book detail view screen","Check fields in Information section in LYRASIS","0","1","7","0","0"
"","My books module","Get a book from Subcategory List View and Return from Books in LYRASIS","0","0","1","0","0"
"","Book detail view screen","Check related books section in Overdrive","1","0","0","0","0"
"","Distributors","LYRASIS: Getting and returning books from Book Detail View","1","4","3","0","0"
"","Read EPUB in Palace Bookshelf","Font settings: Check of increasing and reducing the text size","0","1","0","0","0"
"","Read EPUB from Overdrive in A1QA","Epub: Font settings: Check of font style","0","1","0","0","0"
"","Distributors","LYRASIS: Reserving from Book Detail View","0","1","6","0","0"
"","Books transactions in Palace Bookshelf","Get a book from Book Detail View and Return from Books (IOS)","0","0","1","0","0"
"","Read PDF in Palace Bookshelf on IOS","Navigate by pdf bookmarks","0","1","0","0","0"
"","Read PDF in LYRARIS Reads on IOS","Navigate by Pdf Search Results Lyrasis","0","1","0","0","0"
"","Audiobook in Lyrasis","Check time tracking line","0","4","0","0","0"
"","Read PDF in LYRARIS Reads on IOS","Check invalid data in searching Lyrasis","0","5","0","0","0"
"","My books module","Alert: Check of Cancel button after Return button tapping","3","2","3","0","0"
"","Manage Libraries","Welcome screen: Add Library","0","0","1","0","0"
"","Read EPUB in Palace Bookshelf","Navigate by Table of Contents Menu","0","0","1","0","0"
"","Read EPUB in Lyrasis","Navigate by Page","1","1","1","0","0"
"","Read EPUB from Overdrive in A1QA","Epub: Font settings: Check of increasing and reducing the text size","0","1","0","0","0"
"","Search libraries and books","Check that library name contains one or more entered latin letters","0","0","5","0","0"
"","Menu Bar","Check of the tabs in Palace","0","1","0","0","0"
"","Audiobooks in A1QA library","Audiobooks: Check of line for time remaining","0","0","1","0","0"
"","Audiobook in Lyrasis","Check of not rewinding forward and back by tapping on time bar","0","4","0","0","0"
"","Search libraries and books","Find a library and delete it","0","1","0","0","0"
"","Read EPUB in Lyrasis","Font settings: Check of increasing and reducing the text size","0","3","0","0","0"
"","Reservation of book in LYRASIS","Hold from Book Detail View and Cancel remove from holds tab (IOS)","0","0","1","0","0"
"","Book detail view screen","Check of a book title and author in LYRASIS","0","1","7","0","0"
"","Audiobook in Lyrasis","Check of file numbers","0","1","3","0","0"
"","Read EPUB in Lyrasis","Delete bookmarks","0","3","0","0","0"
"","Audiobook in Lyrasis","Check of line for time remaining","0","1","3","0","0"
"","Search libraries and books","Enter invalid data","0","0","6","0","0"
"","Read EPUB in Palace Bookshelf","Navigate by Page","0","0","1","0","0"
"","Read PDF in Palace Bookshelf on IOS","Navigate by Page slider","0","1","0","0","0"
"","Catalog Navigation","Sort Lists in Palace","1","0","0","0","0"
"","Audiobook in Lyrasis","Navigate by Audiobook","0","4","0","0","0"
"","Read EPUB in Lyrasis","Navigate by bookmarks","1","2","0","0","0"
"","Read EPUB in Palace Bookshelf","Navigate by bookmarks","0","0","1","0","0"
"","Manage Libraries","Settings: Add library: general checks","0","1","0","0","0"
"","Read EPUB in Lyrasis","Font settings: Check of font style","0","3","0","0","0"
"","Book detail view screen","Check fields in Information section in Overdrive","0","0","1","0","0"
"","Book detail view screen","Check of a ""More..."" button in Description section in LYRASIS","7","1","0","0","0"
"","Read EPUB in Palace Bookshelf","Navigate View options","0","0","1","0","0"
"","Read EPUB from Overdrive in A1QA","Epub: Navigate by Page","0","1","0","0","0"
"","Catalog Navigation","Check of the titles of books sections in Palace","1","0","0","0","0"
"","Audiobook in Lyrasis","Check end of chapter sleep timer","0","4","0","0","0"
"","Book detail view screen","Check of a book title and author in Palace","0","0","1","0","0"
"","Catalog Navigation","Check of books sorting in LYRASIS","1","0","0","0","0"
"","Manage Libraries","Store library card","1","0","0","0","0"
"","Catalog Navigation","Check of ""More"" button in books sections in Palace","1","0","0","0","0"
"","Audiobook in Lyrasis","Check of switching to the next time","0","4","0","0","0"
"","Manage Libraries","Settings: Add Library: Check of the added libraries sorting","0","1","0","0","0"
"","Read PDF in LYRARIS Reads on IOS","Navigate by Chapters Lyrasis","0","1","0","0","0"
"","Read EPUB in Palace Bookshelf","Font settings: Check of font style","0","1","0","0","0"
"","Read EPUB in Lyrasis","Open book to last page read","0","2","1","0","0"
"","My books module","Get a book from Book Detail View and Return from Books in LYRASIS","0","0","1","0","0"
"","Audiobook in Lyrasis","Check playback speed and sleep timer","1","3","0","0","0"
"","Read EPUB from Overdrive in A1QA","Epub: Font settings: Check of text theme","0","1","0","0","0"
"","Menu Bar","Check of menu bar in Palace","0","0","1","0","0"
"","Read PDF in Palace Bookshelf on IOS","Navigate by Thumbnails","0","1","0","0","0"
"","Read EPUB from Overdrive in A1QA","Epub: Open book to last page read","0","1","0","0","0"
"","Audiobooks in A1QA library","Audiobooks: Check end of chapter sleep timer","0","1","0","0","0"
"","Catalog Navigation","Check of the titles of books sections in LYRASIS","1","0","0","0","0"
