2022-12-18 01:05:50 INFO  - Scenario 'Navigate by Page' start
2022-12-18 01:05:51 INFO  - Setting application driver using the server on 'https://hub-cloud.browserstack.com/wd/hub'
2022-12-18 01:06:25 INFO  - Application on platform 'ANDROID' is ready...
2022-12-18 01:06:25 INFO  - Session id - 33da2096911d73ab2ecfb74cf02170bed87b880f
2022-12-18 01:06:25 INFO  - Step 0 - I add "Palace Bookshelf" account from welcomeScreen
2022-12-18 01:06:25 INFO  - Button 'btnCloseTutorial' :: Clicking
2022-12-18 01:06:28 INFO  - Button 'btnFindLibrary' :: Clicking
2022-12-18 01:06:28 INFO  - Button 'Search' :: Clicking
2022-12-18 01:06:31 INFO  - Text Field 'Search' :: Clearing
2022-12-18 01:06:31 INFO  - Text Field 'Search' :: Typing 'Palace Bookshelf'
2022-12-18 01:06:33 INFO  - Button 'Palace Bookshelf' :: Clicking
2022-12-18 01:06:33 INFO  - Step 1 - I open Catalog
2022-12-18 01:06:33 INFO  - Button 'tabCatalog' :: Clicking
2022-12-18 01:06:54 INFO  - Step 2 - I open search modal
2022-12-18 01:07:15 INFO  - Button 'Search' :: Clicking
2022-12-18 01:07:16 INFO  - Step 3 - I search for 'Flower Fables' and save bookName as 'bookNameInfo'
2022-12-18 01:07:16 INFO  - Error details button is not present
2022-12-18 01:07:16 INFO  - Text Field 'Search value input' :: Sending keys 'Flower Fables'
2022-12-18 01:07:16 INFO  - Button 'Apply search' :: Clicking
2022-12-18 01:07:18 INFO  - Error details button is not present
2022-12-18 01:07:20 INFO  - Step 4 - Click GET action button on EBOOK book with 'bookNameInfo' bookName on catalog books screen and save book as 'bookInfo'
2022-12-18 01:07:21 INFO  - Label 'lblAuthor' :: Getting text from element
2022-12-18 01:07:22 INFO  - Button 'actionButton' :: Clicking
2022-12-18 01:07:23 INFO  - Step 5 - Open EBOOK book with READ action button and 'bookNameInfo' bookName on catalog books screen and save book as 'bookInfo'
2022-12-18 01:07:24 INFO  - Label 'lblAuthor' :: Getting text from element
2022-12-18 01:07:24 INFO  - Label 'lblBookName' :: Clicking
2022-12-18 01:07:24 INFO  - Step 6 - Click READ action button on book details screen
2022-12-18 01:07:26 INFO  - Button 'Read' :: Clicking
2022-12-18 01:07:26 INFO  - Step 7 - 'bookInfo' book is present on epub reader screen
2022-12-18 01:07:28 INFO  - Label 'lblBookName' :: Getting text from element
2022-12-18 01:07:29 INFO  - Book name on epub reader screen - Flower Fables
2022-12-18 01:07:29 INFO  - Step 8 - I click on right book corner on epub reader screen
2022-12-18 01:07:29 INFO  - Step 9 - I save pageNumber as 'pageNumberKey' and chapterName as 'chapterNameKey' on epub reader screen
2022-12-18 01:07:29 INFO  - Label 'lblPageNumber' :: Getting text from element
2022-12-18 01:07:30 INFO  - Label 'lblChapterName' :: Getting text from element
2022-12-18 01:07:30 INFO  - Step 10 - I click on right book corner on epub reader screen
2022-12-18 01:07:32 INFO  - Step 11 - Next page is opened and old page has 'pageNumberKey' pageNumber and 'chapterNameKey' chapterName on epub reader screen
2022-12-18 01:07:32 INFO  - Label 'lblPageNumber' :: Getting text from element
2022-12-18 01:07:33 INFO  - actualPageNumberOfNextPage3
2022-12-18 01:07:33 INFO  - expectedPageNumberOfNextPage3
2022-12-18 01:07:33 INFO  - Label 'lblChapterName' :: Getting text from element
2022-12-18 01:07:33 INFO  - actualChapterNameOfNextPageAbout
2022-12-18 01:07:33 INFO  - expectedChapterNameOfNextPageTitle
2022-12-18 01:07:33 INFO  - Step 12 - I save pageNumber as 'pageNumberKey' and chapterName as 'chapterNameKey' on epub reader screen
2022-12-18 01:07:33 INFO  - Label 'lblPageNumber' :: Getting text from element
2022-12-18 01:07:34 INFO  - Label 'lblChapterName' :: Getting text from element
2022-12-18 01:07:34 INFO  - Step 13 - I click on left book corner on epub reader screen
2022-12-18 01:07:34 INFO  - Step 14 - Previous page is opened and old page has 'pageNumberKey' pageNumber and 'chapterNameKey' chapterName on epub reader screen
2022-12-18 01:07:34 INFO  - Label 'lblPageNumber' :: Getting text from element
2022-12-18 01:07:35 INFO  - actualPageNumberOfPreviousPage2
2022-12-18 01:07:35 INFO  - expectedPageNumberOfPreviousPage2
2022-12-18 01:07:35 INFO  - Label 'lblChapterName' :: Getting text from element
2022-12-18 01:07:36 INFO  - actualChapterNameOfPreviousPageTitle
2022-12-18 01:07:36 INFO  - expectedChapterNameOfPreviousPageAbout
2022-12-18 01:07:36 INFO  - Taking screenshot
2022-12-18 01:07:37 INFO  - Unlocking credential for current thread
2022-12-18 01:07:37 INFO  - isLoggerNullAfterAnnotation-framework.utilities.Logger@1258a11e
