2023-01-15 12:49:15 INFO  - Scenario 'Check of a book title and author in LYRASIS' start
2023-01-15 12:49:16 INFO  - Setting application driver using the server on 'https://hub-cloud.browserstack.com/wd/hub'
2023-01-15 12:49:58 INFO  - Application on platform 'ANDROID' is ready...
2023-01-15 12:49:58 INFO  - Session id - 831822c59797c71ca2cf6c3d2fbc2077220d1e17
2023-01-15 12:49:58 INFO  - Step 0 - I add "LYRASIS Reads" account from welcomeScreen
2023-01-15 12:49:58 INFO  - Button 'btnCloseTutorial' :: Clicking
2023-01-15 12:50:01 INFO  - Button 'btnFindLibrary' :: Clicking
2023-01-15 12:50:02 INFO  - Button 'Search' :: Clicking
2023-01-15 12:50:04 INFO  - Text Field 'Search' :: Clearing
2023-01-15 12:50:04 INFO  - Text Field 'Search' :: Typing 'LYRASIS Reads'
2023-01-15 12:50:06 INFO  - Button 'LYRASIS Reads' :: Clicking
2023-01-15 12:50:06 INFO  - Step 1 - I open Catalog
2023-01-15 12:50:06 INFO  - Button 'tabCatalog' :: Clicking
2023-01-15 12:50:28 INFO  - Step 2 - I open search modal
2023-01-15 12:50:49 INFO  - Button 'Search' :: Clicking
2023-01-15 12:50:50 INFO  - Step 3 - I search 'available' book of distributor 'Bibliotheca' and bookType 'EBOOK' from "LYRASIS Reads" and save as 'bookNameInfo'
2023-01-15 12:50:50 INFO  - Count of attempts to get random book name without bad symbols-1
2023-01-15 12:50:50 INFO  - randomBookName: Milk and Honey
2023-01-15 12:50:50 INFO  - Error details button is not present
2023-01-15 12:50:51 INFO  - Text Field 'Search value input' :: Sending keys 'Milk and Honey'
2023-01-15 12:50:51 INFO  - Button 'Apply search' :: Clicking
2023-01-15 12:50:52 INFO  - Error details button is not present
2023-01-15 12:50:56 INFO  - Step 4 - I switch to 'eBooks' catalog tab
2023-01-15 12:50:56 INFO  - Button 'eBooks' :: Clicking
2023-01-15 12:51:17 INFO  - Step 5 - Open EBOOK book with GET action button and 'bookNameInfo' bookName on catalog books screen and save book as 'bookInfo'
2023-01-15 12:51:18 INFO  - Label 'lblAuthor' :: Getting text from element
2023-01-15 12:51:18 INFO  - Label 'lblBookName' :: Clicking
2023-01-15 12:51:18 INFO  - Step 6 - Book 'bookInfo' is opened on book details screen
2023-01-15 12:51:18 INFO  - Label 'Book title' :: Getting text from element
2023-01-15 12:51:19 INFO  - Label 'Book Authors' :: Getting text from element
2023-01-15 12:51:20 INFO  - Label 'Book title' :: Getting text from element
2023-01-15 12:51:21 INFO  - Label 'Book Authors' :: Getting text from element
2023-01-15 12:51:21 INFO  - Step 7 - Book 'bookInfo' has correct title and author name on book details screen
2023-01-15 12:51:21 INFO  - Step 8 - The book cover is displayed on book details screen
2023-01-15 12:51:21 INFO  - Taking screenshot
2023-01-15 12:51:22 INFO  - Unlocking credential for current thread
2023-01-15 12:51:22 INFO  - isLoggerNullAfterAnnotation-framework.utilities.Logger@4a943bf3
