2023-01-25 05:49:18 INFO  - Scenario 'Enter invalid data' start
2023-01-25 05:49:19 INFO  - Setting application driver using the server on 'https://hub-cloud.browserstack.com/wd/hub'
2023-01-25 05:49:43 INFO  - Application on platform 'ANDROID' is ready...
2023-01-25 05:49:43 INFO  - Session id - d90b0c8eb21d0d860fef760a80b34856af758bd6
2023-01-25 05:49:43 INFO  - Step 0 - Tutorial screen is opened
2023-01-25 05:49:45 INFO  - Step 1 - Close tutorial screen
2023-01-25 05:49:45 INFO  - Button 'btnCloseTutorial' :: Clicking
2023-01-25 05:49:46 INFO  - Step 2 - Close welcome screen
2023-01-25 05:49:46 INFO  - Button 'btnFindLibrary' :: Clicking
2023-01-25 05:49:46 INFO  - Step 3 - I enter word книга and save as 'data' on add account screen
2023-01-25 05:49:46 INFO  - Button 'Search' :: Clicking
2023-01-25 05:49:48 INFO  - Text Field 'Search' :: Clearing
2023-01-25 05:49:48 INFO  - Text Field 'Search' :: Typing 'книга'
2023-01-25 05:49:51 INFO  - Step 4 - Search result is empty on add account screen
2023-01-25 05:49:51 INFO  - Taking screenshot
2023-01-25 05:49:52 INFO  - Unlocking credential for current thread
2023-01-25 05:49:52 INFO  - isLoggerNullAfterAnnotation-framework.utilities.Logger@92b9e09
