2023-02-14 00:59:51 INFO  - Scenario 'Enter invalid data' start
2023-02-14 00:59:52 INFO  - Setting application driver using the server on 'https://hub-cloud.browserstack.com/wd/hub'
2023-02-14 01:00:09 INFO  - Application on platform 'IOS' is ready...
2023-02-14 01:00:09 INFO  - Session id - c9b65163e353f6842c369cd67c6ee68a3c557dd1
2023-02-14 01:00:09 INFO  - Step 0 - Tutorial screen is opened
2023-02-14 01:00:09 INFO  - Step 1 - Close tutorial screen
2023-02-14 01:00:09 INFO  - Button 'btnCloseTutorial' :: Clicking
2023-02-14 01:00:10 INFO  - Step 2 - Close welcome screen
2023-02-14 01:00:10 INFO  - Button 'Find your library button' :: Clicking
2023-02-14 01:00:10 INFO  - Step 3 - I enter word книга and save as 'data' on add account screen
2023-02-14 01:00:10 INFO  - Text Field 'Search field' :: Clicking
2023-02-14 01:00:16 INFO  - Text Field 'Search field' :: Clearing
2023-02-14 01:00:16 INFO  - Text Field 'Search field' :: Typing 'книга'
2023-02-14 01:00:25 INFO  - Step 4 - Search result is empty on add account screen
2023-02-14 01:00:26 INFO  - Taking screenshot
2023-02-14 01:00:27 INFO  - Unlocking credential for current thread
2023-02-14 01:00:27 INFO  - isLoggerNullAfterAnnotation-framework.utilities.Logger@5cd0b356
