2023-02-19 04:42:36 INFO  - Scenario 'Check of a book title and author in LYRASIS' start
2023-02-19 04:42:37 INFO  - Setting application driver using the server on 'https://hub-cloud.browserstack.com/wd/hub'
2023-02-19 04:43:08 INFO  - Application on platform 'ANDROID' is ready...
2023-02-19 04:43:08 INFO  - Session id - a70a2fa50094fdbd7adc3f08d7bf758cde8929f1
2023-02-19 04:43:08 INFO  - Step 0 - I add "LYRASIS Reads" account from welcomeScreen
2023-02-19 04:43:08 INFO  - Button 'btnCloseTutorial' :: Clicking
2023-02-19 04:43:11 INFO  - Button 'btnFindLibrary' :: Clicking
2023-02-19 04:43:11 INFO  - Button 'Search' :: Clicking
2023-02-19 04:43:13 INFO  - Text Field 'Search' :: Clearing
2023-02-19 04:43:13 INFO  - Text Field 'Search' :: Typing 'LYRASIS Reads'
2023-02-19 04:43:16 INFO  - Button 'LYRASIS Reads' :: Clicking
2023-02-19 04:43:16 INFO  - Step 1 - I open Catalog
2023-02-19 04:43:16 INFO  - Button 'tabCatalog' :: Clicking
2023-02-19 04:43:38 INFO  - Step 2 - I open search modal
2023-02-19 04:43:58 INFO  - Button 'Search' :: Clicking
2023-02-19 04:44:00 INFO  - Step 3 - I search 'available' book of distributor 'Bibliotheca' and bookType 'EBOOK' from "LYRASIS Reads" and save as 'bookNameInfo'
2023-02-19 04:44:00 INFO  - Count of attempts to get random book name without bad symbols-1
2023-02-19 04:44:00 INFO  - randomBookName: Five Tuesdays in Winter
2023-02-19 04:44:01 INFO  - Error details button is not present
2023-02-19 04:44:01 INFO  - Text Field 'Search value input' :: Sending keys 'Five Tuesdays in Winter'
2023-02-19 04:44:06 INFO  - Error details button is not present
2023-02-19 04:44:06 INFO  - Step 4 - I switch to 'eBooks' catalog tab
2023-02-19 04:44:06 INFO  - Button 'eBooks' :: Clicking
2023-02-19 04:44:28 INFO  - Step 5 - Open EBOOK book with GET action button and 'bookNameInfo' bookName on catalog books screen and save book as 'bookInfo'
2023-02-19 04:44:29 INFO  - Label 'lblAuthor' :: Getting text from element
2023-02-19 04:44:29 INFO  - Label 'lblBookName' :: Clicking
2023-02-19 04:44:30 INFO  - Step 6 - Book 'bookInfo' is opened on book details screen
2023-02-19 04:44:30 INFO  - Label 'Book title' :: Getting text from element
2023-02-19 04:44:32 INFO  - Label 'Book Authors' :: Getting text from element
2023-02-19 04:44:33 INFO  - Label 'Book title' :: Getting text from element
2023-02-19 04:44:33 INFO  - Label 'Book Authors' :: Getting text from element
2023-02-19 04:44:33 INFO  - Step 7 - Book 'bookInfo' has correct title and author name on book details screen
2023-02-19 04:44:34 INFO  - Step 8 - The book cover is displayed on book details screen
2023-02-19 04:44:34 INFO  - Taking screenshot
2023-02-19 04:44:35 INFO  - isLoggerNullAfterAnnotation-framework.utilities.Logger@14d1d9dc
