2023-03-04 21:45:08 INFO  - Scenario 'Check fields in Information section in LYRASIS' start
2023-03-04 21:45:09 INFO  - Setting application driver using the server on 'https://hub-cloud.browserstack.com/wd/hub'
2023-03-04 21:45:46 INFO  - Application on platform 'ANDROID' is ready...
2023-03-04 21:45:46 INFO  - Session id - 579dd74f7ab4f8f2cef3a93b47521a52a4951e92
2023-03-04 21:45:46 INFO  - Step 0 - I add "LYRASIS Reads" account from welcomeScreen
2023-03-04 21:45:46 INFO  - Button 'btnCloseTutorial' :: Clicking
2023-03-04 21:45:49 INFO  - Button 'btnFindLibrary' :: Clicking
2023-03-04 21:45:49 INFO  - Button 'Search' :: Clicking
2023-03-04 21:45:51 INFO  - Text Field 'Search' :: Clearing
2023-03-04 21:45:51 INFO  - Text Field 'Search' :: Typing 'LYRASIS Reads'
2023-03-04 21:45:53 INFO  - Button 'LYRASIS Reads' :: Clicking
2023-03-04 21:45:53 INFO  - Step 1 - I open Catalog
2023-03-04 21:45:53 INFO  - Button 'tabCatalog' :: Clicking
2023-03-04 21:46:15 INFO  - Step 2 - I open search modal
2023-03-04 21:46:35 INFO  - Button 'Search' :: Clicking
2023-03-04 21:46:36 INFO  - Step 3 - I search 'available' book of distributor 'Biblioboard' and bookType 'EBOOK' from "LYRASIS Reads" and save as 'bookNameInfo'
2023-03-04 21:46:36 INFO  - Count of attempts to get random book name without bad symbols-1
2023-03-04 21:46:36 INFO  - randomBookName: Riding Horses :
2023-03-04 21:46:36 INFO  - Error details button is not present
2023-03-04 21:46:37 INFO  - Text Field 'Search value input' :: Sending keys 'Riding Horses :'
2023-03-04 21:46:39 INFO  - Error details button is not present
2023-03-04 21:46:42 INFO  - Step 4 - I switch to 'eBooks' catalog tab
2023-03-04 21:46:42 INFO  - Button 'eBooks' :: Clicking
2023-03-04 21:47:04 INFO  - Step 5 - Open EBOOK book with GET action button and 'bookNameInfo' bookName on catalog books screen and save book as 'bookInfo'
2023-03-04 21:47:05 INFO  - Label 'lblAuthor' :: Getting text from element
2023-03-04 21:47:05 INFO  - Label 'lblBookName' :: Clicking
2023-03-04 21:47:05 INFO  - Step 6 - Book 'bookInfo' is opened on book details screen
2023-03-04 21:47:05 INFO  - Label 'Book title' :: Getting text from element
2023-03-04 21:47:06 INFO  - Label 'Book Authors' :: Getting text from element
2023-03-04 21:47:07 INFO  - Label 'Book title' :: Getting text from element
2023-03-04 21:47:07 INFO  - Label 'Book Authors' :: Getting text from element
2023-03-04 21:47:07 INFO  - Step 7 - Publisher and Categories in Information section are displayed on book details screen
2023-03-04 21:47:07 INFO  - Swiping from coordinates (x:540; y:1759) to (x:540; y:329)
2023-03-04 21:47:30 INFO  - Taking screenshot
2023-03-04 21:47:31 INFO  - isLoggerNullAfterAnnotation-framework.utilities.Logger@757571bf
