2023-03-12 14:40:39 INFO  - Scenario 'Settings: Check of Horizontal scrolling Palace' start
2023-03-12 14:40:40 INFO  - Setting application driver using the server on 'https://hub-cloud.browserstack.com/wd/hub'
2023-03-12 14:41:25 INFO  - Application on platform 'ANDROID' is ready...
2023-03-12 14:41:25 INFO  - Session id - a74acb62cc12abc2c375e79880ff4b83e2ea6948
2023-03-12 14:41:25 INFO  - Step 0 - I add "Palace Bookshelf" account from welcomeScreen
2023-03-12 14:41:25 INFO  - Button 'btnCloseTutorial' :: Clicking
2023-03-12 14:41:28 INFO  - Button 'btnFindLibrary' :: Clicking
2023-03-12 14:41:28 INFO  - Button 'Search' :: Clicking
2023-03-12 14:41:31 INFO  - Text Field 'Search' :: Clearing
2023-03-12 14:41:31 INFO  - Text Field 'Search' :: Typing 'Palace Bookshelf'
2023-03-12 14:41:33 INFO  - Button 'Palace Bookshelf' :: Clicking
2023-03-12 14:41:33 INFO  - Step 1 - I open Catalog
2023-03-12 14:41:33 INFO  - Button 'tabCatalog' :: Clicking
2023-03-12 14:41:55 INFO  - Step 2 - I open search modal
2023-03-12 14:42:16 INFO  - Button 'Search' :: Clicking
2023-03-12 14:42:17 INFO  - Step 3 - I search for 'Deep into Pharo' and save bookName as 'bookNameInfo'
2023-03-12 14:42:17 INFO  - Error details button is not present
2023-03-12 14:42:17 INFO  - Text Field 'Search value input' :: Sending keys 'Deep into Pharo'
2023-03-12 14:42:19 INFO  - Error details button is not present
2023-03-12 14:42:23 INFO  - Step 4 - Click GET action button on EBOOK book with 'bookNameInfo' bookName on catalog books screen and save book as 'bookInfo'
2023-03-12 14:42:23 INFO  - Label 'lblAuthor' :: Getting text from element
2023-03-12 14:42:23 INFO  - Button 'actionButton' :: Clicking
2023-03-12 14:42:28 INFO  - Step 5 - EBOOK book with READ action button and 'bookInfo' bookInfo is present on catalog books screen
2023-03-12 14:42:28 INFO  - Step 6 - Open EBOOK book with READ action button and 'bookNameInfo' bookName on catalog books screen and save book as 'bookInfo'
2023-03-12 14:42:29 INFO  - Label 'lblAuthor' :: Getting text from element
2023-03-12 14:42:29 INFO  - Label 'lblBookName' :: Clicking
2023-03-12 14:42:29 INFO  - Step 7 - Click READ action button on book details screen
2023-03-12 14:42:31 INFO  - Button 'Read' :: Clicking
2023-03-12 14:42:32 INFO  - Step 8 - Reader pdf screen is opened
2023-03-12 14:42:34 INFO  - Step 9 - I open pdf settings screen on pdf reader screen
2023-03-12 14:42:34 INFO  - Button 'Settings' :: Clicking
2023-03-12 14:42:38 INFO  - Step 10 - I tap Horizontal scrolling on pdf settings screen
2023-03-12 14:42:38 INFO  - Button 'Horizontal scrolling' :: Clicking
2023-03-12 14:42:39 INFO  - Step 11 - I open pdf settings screen on pdf reader screen
2023-03-12 14:42:39 INFO  - Button 'Settings' :: Clicking
2023-03-12 14:42:43 INFO  - Step 12 - Horizontal scrolling is chosen on settings screen
2023-03-12 14:42:43 INFO  - Button 'Horizontal scrolling' :: Getting attribute 'checked'
2023-03-12 14:42:43 INFO  - Step 13 - Spreads options are not available on settings screen
2023-03-12 14:42:46 INFO  - Step 14 - I open pdf settings screen on pdf reader screen
2023-03-12 14:42:46 INFO  - Button 'Settings' :: Clicking
2023-03-12 14:42:48 INFO  - Step 15 - I save page number as 'pageInfo' on pdf reader screen
2023-03-12 14:42:48 INFO  - Label 'Page number' :: Getting text from element
2023-03-12 14:42:49 INFO  - Taking screenshot
2023-03-12 14:42:51 INFO  - Unlocking credential for current thread
2023-03-12 14:42:51 INFO  - isLoggerNullAfterAnnotation-framework.utilities.Logger@799f57cc
