2023-03-19 04:42:49 INFO  - Scenario 'Check of a book title and author in LYRASIS' start
2023-03-19 04:42:50 INFO  - Setting application driver using the server on 'https://hub-cloud.browserstack.com/wd/hub'
2023-03-19 04:43:22 INFO  - Application on platform 'ANDROID' is ready...
2023-03-19 04:43:22 INFO  - Session id - 499049d4690076c5298927ae25b0621cf7634c6b
2023-03-19 04:43:22 INFO  - Step 0 - I add "LYRASIS Reads" account from welcomeScreen
2023-03-19 04:43:22 INFO  - Button 'btnCloseTutorial' :: Clicking
2023-03-19 04:43:26 INFO  - Button 'btnFindLibrary' :: Clicking
2023-03-19 04:43:26 INFO  - Button 'Search' :: Clicking
2023-03-19 04:43:28 INFO  - Text Field 'Search' :: Clearing
2023-03-19 04:43:28 INFO  - Text Field 'Search' :: Typing 'LYRASIS Reads'
2023-03-19 04:43:31 INFO  - Button 'LYRASIS Reads' :: Clicking
2023-03-19 04:43:31 INFO  - Step 1 - I open Catalog
2023-03-19 04:43:31 INFO  - Button 'tabCatalog' :: Clicking
2023-03-19 04:43:53 INFO  - Step 2 - I open search modal
2023-03-19 04:44:13 INFO  - Button 'Search' :: Clicking
2023-03-19 04:44:15 INFO  - Step 3 - I search 'available' book of distributor 'Bibliotheca' and bookType 'EBOOK' from "LYRASIS Reads" and save as 'bookNameInfo'
2023-03-19 04:44:15 INFO  - Count of attempts to get random book name without bad symbols-1
2023-03-19 04:44:15 INFO  - randomBookName: House of Earth and Blood
2023-03-19 04:44:15 INFO  - Error details button is not present
2023-03-19 04:44:16 INFO  - Text Field 'Search value input' :: Sending keys 'House of Earth and Blood'
2023-03-19 04:44:18 INFO  - Error details button is not present
2023-03-19 04:44:21 INFO  - Step 4 - I switch to 'eBooks' catalog tab
2023-03-19 04:44:21 INFO  - Button 'eBooks' :: Clicking
2023-03-19 04:44:43 INFO  - Step 5 - Open EBOOK book with GET action button and 'bookNameInfo' bookName on catalog books screen and save book as 'bookInfo'
2023-03-19 04:44:43 INFO  - Label 'lblAuthor' :: Getting text from element
2023-03-19 04:44:44 INFO  - Label 'lblBookName' :: Clicking
2023-03-19 04:44:44 INFO  - Step 6 - Book 'bookInfo' is opened on book details screen
2023-03-19 04:44:44 INFO  - Label 'Book title' :: Getting text from element
2023-03-19 04:44:46 INFO  - Label 'Book Authors' :: Getting text from element
2023-03-19 04:44:46 INFO  - Label 'Book title' :: Getting text from element
2023-03-19 04:44:47 INFO  - Label 'Book Authors' :: Getting text from element
2023-03-19 04:44:47 INFO  - Step 7 - Book 'bookInfo' has correct title and author name on book details screen
2023-03-19 04:44:47 INFO  - Step 8 - The book cover is displayed on book details screen
2023-03-19 04:44:48 INFO  - Taking screenshot
2023-03-19 04:44:49 INFO  - Unlocking credential for current thread
2023-03-19 04:44:49 INFO  - isLoggerNullAfterAnnotation-framework.utilities.Logger@27f7b1ad
