2023-04-22 03:28:53 INFO  - Scenario 'Enter invalid data' start
2023-04-22 03:28:54 INFO  - Setting application driver using the server on 'https://hub-cloud.browserstack.com/wd/hub'
2023-04-22 03:29:22 INFO  - Application on platform 'ANDROID' is ready...
2023-04-22 03:29:22 INFO  - Session id - c4147230e1dbee9e86d5ee92624deb7cf46ae23a
2023-04-22 03:29:22 INFO  - Step 0 - Tutorial screen is opened
2023-04-22 03:29:24 INFO  - Step 1 - Close tutorial screen
2023-04-22 03:29:24 INFO  - Button 'btnCloseTutorial' :: Clicking
2023-04-22 03:29:24 INFO  - Step 2 - Close welcome screen
2023-04-22 03:29:24 INFO  - Button 'btnFindLibrary' :: Clicking
2023-04-22 03:29:25 INFO  - Step 3 - Enter word 9822 and save as 'data' on add account screen
2023-04-22 03:29:25 INFO  - Button 'Search' :: Clicking
2023-04-22 03:29:28 INFO  - Text Field 'Search' :: Clearing
2023-04-22 03:29:28 INFO  - Text Field 'Search' :: Typing '9822'
2023-04-22 03:29:30 INFO  - Step 4 - Search result is empty on add account screen
2023-04-22 03:29:30 INFO  - Taking screenshot
2023-04-22 03:29:30 INFO  - Unlocking credential for current thread
2023-04-22 03:29:30 INFO  - isLoggerNullAfterAnnotation-framework.utilities.Logger@17ec6346
