2023-08-05 12:16:48 INFO  - Scenario 'LYRASIS: Reserving from Book Detail View' start
2023-08-05 12:16:49 INFO  - Setting application driver using the server on 'https://hub-cloud.browserstack.com/wd/hub'
2023-08-05 12:17:27 INFO  - Application on platform 'ANDROID' is ready...
2023-08-05 12:17:27 INFO  - Session id - 609d91fb8b099b1994bffba74d8ba2349bb123c5
2023-08-05 12:17:27 INFO  - Step 0 - Close tutorial screen
2023-08-05 12:17:27 INFO  - Button 'btnCloseTutorial' :: Clicking
2023-08-05 12:17:29 INFO  - Step 1 - Welcome screen is opened
2023-08-05 12:17:30 INFO  - Step 2 - Close welcome screen
2023-08-05 12:17:30 INFO  - Button 'btnFindLibrary' :: Clicking
2023-08-05 12:17:30 INFO  - Step 3 - Add library screen is opened
2023-08-05 12:17:32 INFO  - Step 4 - Add library "LYRASIS Reads" on Add library screen
2023-08-05 12:17:32 INFO  - Button 'Search' :: Clicking
2023-08-05 12:17:33 INFO  - Text Field 'Search' :: Clearing
2023-08-05 12:17:33 INFO  - Text Field 'Search' :: Typing 'LYRASIS Reads'
2023-08-05 12:17:36 INFO  - Button 'LYRASIS Reads' :: Clicking
2023-08-05 12:17:37 INFO  - Step 5 - Account "LYRASIS Reads" is present on Accounts screen
2023-08-05 12:17:37 INFO  - Button 'tabSettings' :: Clicking
2023-08-05 12:17:38 INFO  - Button 'tabSettings' :: Clicking
2023-08-05 12:17:38 INFO  - Button 'Accounts' :: Clicking
2023-08-05 12:17:40 INFO  - Step 6 - Enter credentials for 'LYRASIS Reads' account
2023-08-05 12:17:40 INFO  - Button 'tabSettings' :: Clicking
2023-08-05 12:17:40 INFO  - Button 'tabSettings' :: Clicking
2023-08-05 12:17:41 INFO  - Button 'Accounts' :: Clicking
2023-08-05 12:17:43 INFO  - Button 'LYRASIS Reads' :: Clicking
2023-08-05 12:17:43 INFO  - Locking credential with barcode 01230000000003
2023-08-05 12:17:43 INFO  - There are books on the account: 
2023-08-05 12:17:45 INFO  - bookName: Apples Never Fall Distributor: Palace Marketplace
2023-08-05 12:17:45 INFO  - bookName: The Ice Queen Distributor: Palace Marketplace
2023-08-05 12:17:45 INFO  - bookName: The Mystery of Mrs. Christie Distributor: Palace Marketplace
2023-08-05 12:17:45 INFO  - bookName: Snow Crash Distributor: Palace Marketplace
2023-08-05 12:17:45 INFO  - bookName: The Critique of Practical Reason Distributor: Palace Marketplace
2023-08-05 12:17:45 INFO  - bookName: Too Much and Never Enough Distributor: Palace Marketplace
2023-08-05 12:17:45 INFO  - Count of books on the account after opening account: 6
2023-08-05 12:17:45 INFO  - Text Field 'Card' :: Clearing
2023-08-05 12:17:45 INFO  - Text Field 'Card' :: Typing '01230000000003'
2023-08-05 12:17:47 INFO  - Text Field 'Pin' :: Clearing
2023-08-05 12:17:47 INFO  - Text Field 'Pin' :: Typing '********'
2023-08-05 12:17:49 INFO  - Button 'Log in' :: Clicking
2023-08-05 12:17:53 INFO  - Button 'Log ... action' :: Getting text from element
2023-08-05 12:17:54 INFO  - Step 7 - Login is performed successfully
2023-08-05 12:18:15 INFO  - Button 'Log ... action' :: Getting text from element
2023-08-05 12:18:15 INFO  - Step 8 - Open Catalog
2023-08-05 12:18:15 INFO  - Button 'tabCatalog' :: Clicking
2023-08-05 12:18:35 INFO  - Step 9 - Open search modal
2023-08-05 12:18:55 INFO  - Button 'Search' :: Clicking
2023-08-05 12:18:57 INFO  - Step 10 - Search 'unavailable' book of distributor 'Bibliotheca' and bookType 'EBOOK' from "LYRASIS Reads" and save as 'bookNameInfo'
2023-08-05 12:18:57 INFO  - Count of attempts to get random book name without bad symbols-1
2023-08-05 12:18:57 INFO  - randomBookName: Stand by Me
2023-08-05 12:18:57 INFO  - Error details button is not present
2023-08-05 12:18:57 INFO  - Text Field 'Search value input' :: Sending keys 'Stand by Me'
2023-08-05 12:18:59 INFO  - Error details button is not present
2023-08-05 12:19:03 INFO  - Step 11 - Switch to 'eBooks' catalog tab
2023-08-05 12:19:03 INFO  - Button 'eBooks' :: Clicking
2023-08-05 12:19:24 INFO  - Step 12 - Open EBOOK book with RESERVE action button and 'bookNameInfo' bookName on catalog books screen and save book as 'bookInfo'
2023-08-05 12:19:24 INFO  - Label 'lblAuthor' :: Getting text from element
2023-08-05 12:19:24 INFO  - Label 'lblBookName' :: Clicking
2023-08-05 12:19:25 INFO  - Step 13 - Click RESERVE action button on book details screen
2023-08-05 12:19:26 INFO  - Button 'Reserve' :: Clicking
2023-08-05 12:19:30 INFO  - Step 14 - Check that book contains REMOVE action button on book details screen
2023-08-05 12:19:30 INFO  - Taking screenshot
2023-08-05 12:19:31 INFO  - Test finished - logging out
2023-08-05 12:19:32 INFO  - Button 'tabSettings' :: Clicking
2023-08-05 12:19:35 INFO  - Button 'tabSettings' :: Clicking
2023-08-05 12:19:36 INFO  - Button 'Accounts' :: Clicking
2023-08-05 12:19:36 INFO  - Button 'LYRASIS Reads' :: Clicking
2023-08-05 12:19:38 INFO  - Text Field 'Card' :: Getting text from element
2023-08-05 12:19:38 INFO  - Text Field 'Pin' :: Getting text from element
2023-08-05 12:19:38 INFO  - Button 'Log out' :: Clicking
2023-08-05 12:19:59 INFO  - Button 'Log in' :: Getting text from element
2023-08-05 12:19:59 INFO  - Unlocking credential for current thread
2023-08-05 12:19:59 INFO  - isLoggerNullAfterAnnotation-framework.utilities.Logger@2902821b
