2023-08-05 12:16:48 INFO  - Scenario 'Open the audiobook at the last open chapter and check time code' start
2023-08-05 12:16:49 INFO  - Setting application driver using the server on 'https://hub-cloud.browserstack.com/wd/hub'
2023-08-05 12:17:19 INFO  - Application on platform 'ANDROID' is ready...
2023-08-05 12:17:19 INFO  - Session id - 690abe1f2bf2f7805ee17303b5a996980f31b831
2023-08-05 12:17:19 INFO  - Step 0 - Close tutorial screen
2023-08-05 12:17:19 INFO  - Button 'btnCloseTutorial' :: Clicking
2023-08-05 12:17:22 INFO  - Step 1 - Welcome screen is opened
2023-08-05 12:17:22 INFO  - Step 2 - Close welcome screen
2023-08-05 12:17:22 INFO  - Button 'btnFindLibrary' :: Clicking
2023-08-05 12:17:23 INFO  - Step 3 - Add library screen is opened
2023-08-05 12:17:24 INFO  - Step 4 - Add library "LYRASIS Reads" on Add library screen
2023-08-05 12:17:24 INFO  - Button 'Search' :: Clicking
2023-08-05 12:17:25 INFO  - Text Field 'Search' :: Clearing
2023-08-05 12:17:25 INFO  - Text Field 'Search' :: Typing 'LYRASIS Reads'
2023-08-05 12:17:28 INFO  - Button 'LYRASIS Reads' :: Clicking
2023-08-05 12:17:29 INFO  - Step 5 - Account "LYRASIS Reads" is present on Accounts screen
2023-08-05 12:17:29 INFO  - Button 'tabSettings' :: Clicking
2023-08-05 12:17:29 INFO  - Button 'tabSettings' :: Clicking
2023-08-05 12:17:30 INFO  - Button 'Accounts' :: Clicking
2023-08-05 12:17:32 INFO  - Step 6 - Enter credentials for 'LYRASIS Reads' account
2023-08-05 12:17:32 INFO  - Button 'tabSettings' :: Clicking
2023-08-05 12:17:32 INFO  - Button 'tabSettings' :: Clicking
2023-08-05 12:17:33 INFO  - Button 'Accounts' :: Clicking
2023-08-05 12:17:34 INFO  - Button 'LYRASIS Reads' :: Clicking
2023-08-05 12:17:35 INFO  - Locking credential with barcode 01230000000005
2023-08-05 12:17:35 INFO  - There are books on the account: 
2023-08-05 12:17:37 INFO  - bookName: Animal Instinct Distributor: Palace Marketplace
2023-08-05 12:17:37 INFO  - bookName: Adventures of Huckleberry Finn: A Signature Performance by Elijah Wood Distributor: Palace Marketplace
2023-08-05 12:17:37 INFO  - bookName: Alice's Adventures in Wonderland Distributor: Palace Marketplace
2023-08-05 12:17:37 INFO  - bookName: The Will to Change Distributor: Palace Marketplace
2023-08-05 12:17:37 INFO  - bookName: Phantom Lover Distributor: Palace Marketplace
2023-08-05 12:17:37 INFO  - Count of books on the account after opening account: 5
2023-08-05 12:17:37 INFO  - Text Field 'Card' :: Clearing
2023-08-05 12:17:37 INFO  - Text Field 'Card' :: Typing '01230000000005'
2023-08-05 12:17:38 INFO  - Text Field 'Pin' :: Clearing
2023-08-05 12:17:38 INFO  - Text Field 'Pin' :: Typing '********'
2023-08-05 12:17:40 INFO  - Button 'Log in' :: Clicking
2023-08-05 12:17:46 INFO  - Button 'Log ... action' :: Getting text from element
2023-08-05 12:17:46 INFO  - Step 7 - Login is performed successfully
2023-08-05 12:18:07 INFO  - Button 'Log ... action' :: Getting text from element
2023-08-05 12:18:07 INFO  - Step 8 - Open Catalog
2023-08-05 12:18:07 INFO  - Button 'tabCatalog' :: Clicking
2023-08-05 12:18:28 INFO  - Step 9 - Open categories by chain and chain starts from CategoryScreen:
2023-08-05 12:18:28 INFO  - Swiping from coordinates (x:800; y:260) to (x:800; y:1966)
2023-08-05 12:19:10 INFO  - Button 'Audible Studios' :: Clicking
2023-08-05 12:19:10 INFO  - Step 10 - Category "Audible Studios" with books is opened on catalog books screen
2023-08-05 12:19:31 INFO  - Taking screenshot
2023-08-05 12:19:32 INFO  - Test finished - logging out
2023-08-05 12:19:32 INFO  - Button 'tabSettings' :: Clicking
2023-08-05 12:19:35 INFO  - Button 'tabSettings' :: Clicking
2023-08-05 12:19:36 INFO  - Button 'Accounts' :: Clicking
2023-08-05 12:19:36 INFO  - Button 'LYRASIS Reads' :: Clicking
2023-08-05 12:19:38 INFO  - Text Field 'Card' :: Getting text from element
2023-08-05 12:19:38 INFO  - Text Field 'Pin' :: Getting text from element
2023-08-05 12:19:38 INFO  - Button 'Log out' :: Clicking
2023-08-05 12:19:59 INFO  - Button 'Log in' :: Getting text from element
2023-08-05 12:19:59 INFO  - Unlocking credential for current thread
2023-08-05 12:19:59 INFO  - isLoggerNullAfterAnnotation-framework.utilities.Logger@5fc30772
