"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 05 19:32:07 GMT 2023","Sat Aug 05 19:34:17 GMT 2023","130243","","Book detail view screen","","Check related books section in LYRASIS","","Check related books section in LYRASIS",""
"failed","Sat Aug 05 19:15:07 GMT 2023","Sat Aug 05 19:21:28 GMT 2023","381440","","Read EPUB from Overdrive in A1QA","","Epub: Font settings: Check of increasing and reducing the text size","","Epub: Font settings: Check of increasing and reducing the text size",""
"passed","Sat Aug 05 19:37:42 GMT 2023","Sat Aug 05 19:39:21 GMT 2023","99045","","Book detail view screen","","Check of a book title and author in Palace","","Check of a book title and author in Palace",""
"passed","Sat Aug 05 20:18:04 GMT 2023","Sat Aug 05 20:19:09 GMT 2023","65036","","Search libraries and books","","Find a book with name in different font cases in Palace","","Find a book with name in different font cases in Palace",""
"failed","Sat Aug 05 20:04:51 GMT 2023","Sat Aug 05 20:07:16 GMT 2023","144924","","Read PDF in Palace Bookshelf on Android","","Check table of contents Palace","","Check table of contents Palace",""
"passed","Sat Aug 05 18:29:43 GMT 2023","Sat Aug 05 18:31:21 GMT 2023","97830","","Books transactions in Palace Bookshelf","","Get a book from Book Detail View and Return from Book Detail View (ANDROID)","","Get a book from Book Detail View and Return from Book Detail View (ANDROID)",""
"passed","Sat Aug 05 18:21:44 GMT 2023","Sat Aug 05 18:23:24 GMT 2023","99808","","Books transactions in Palace Bookshelf","","Get a book from Subcategory List View and Return from Subcategory List View (ANDROID)","","Get a book from Subcategory List View and Return from Subcategory List View (ANDROID)",""
"broken","Sat Aug 05 19:19:00 GMT 2023","Sat Aug 05 19:20:25 GMT 2023","85493","","Book detail view screen","","Check fields in Information section in LYRASIS","","Check fields in Information section in LYRASIS",""
"failed","Sat Aug 05 19:48:20 GMT 2023","Sat Aug 05 19:49:43 GMT 2023","83142","","Manage Libraries","","Settings: Libraries: Remove library","","Settings: Libraries: Remove library",""
"passed","Sat Aug 05 18:31:21 GMT 2023","Sat Aug 05 18:32:59 GMT 2023","98333","","Books transactions in Palace Bookshelf","","Get a book from Book Detail View and Read from Book Detail View (ANDROID)","","Get a book from Book Detail View and Read from Book Detail View (ANDROID)",""
"broken","Sat Aug 05 18:41:04 GMT 2023","Sat Aug 05 18:43:17 GMT 2023","133733","","Catalog Navigation","","Sort Lists in Palace","","Sort Lists in Palace",""
"passed","Sat Aug 05 20:13:41 GMT 2023","Sat Aug 05 20:14:47 GMT 2023","65780","","Search libraries and books","","Find a book in Palace","","Find a book in Palace",""
"passed","Sat Aug 05 20:08:44 GMT 2023","Sat Aug 05 20:09:18 GMT 2023","33583","","Search libraries and books","","Check that library name contains one or more entered latin letters","","Check that library name contains one or more entered latin letters",""
"passed","Sat Aug 05 20:21:17 GMT 2023","Sat Aug 05 20:22:22 GMT 2023","64584","","Search libraries and books","","Enter invalid data in book name in Palace","","Enter invalid data in book name in Palace",""
"failed","Sat Aug 05 19:14:02 GMT 2023","Sat Aug 05 19:19:17 GMT 2023","315899","","Audiobooks in A1QA library","","Audiobooks: Playback speed: Check of playback speed","","Audiobooks: Playback speed: Check of playback speed",""
"passed","Sat Aug 05 20:04:31 GMT 2023","Sat Aug 05 20:06:05 GMT 2023","94202","","Feed","","Update Bookshelf List (ANDROID)","","Update Bookshelf List (ANDROID)",""
"passed","Sat Aug 05 20:19:49 GMT 2023","Sat Aug 05 20:22:50 GMT 2023","181238","","Read PDF in Palace Bookshelf on Android","","Open book to last page read Palace","","Open book to last page read Palace",""
"passed","Sat Aug 05 18:42:57 GMT 2023","Sat Aug 05 18:50:18 GMT 2023","441218","","Audiobooks in A1QA library","","Audiobooks: Check closing playback speed and sleep timer","","Audiobooks: Check closing playback speed and sleep timer",""
"passed","Sat Aug 05 20:40:41 GMT 2023","Sat Aug 05 20:41:47 GMT 2023","66875","","Search libraries and books","","Enter invalid data in book name in LYRASIS","","Enter invalid data in book name in LYRASIS",""
"passed","Sat Aug 05 18:43:17 GMT 2023","Sat Aug 05 18:45:05 GMT 2023","107510","","Catalog Navigation","","Check of tabs at the top of the screen in LYRASIS","","Check of tabs at the top of the screen in LYRASIS",""
"passed","Sat Aug 05 20:38:31 GMT 2023","Sat Aug 05 20:39:41 GMT 2023","69911","","Search libraries and books","","Find a book with name in different font cases in LYRASIS","","Find a book with name in different font cases in LYRASIS",""
"passed","Sat Aug 05 18:39:23 GMT 2023","Sat Aug 05 18:41:21 GMT 2023","117902","","Book detail view screen","","Check of a book format in LYRASIS","","Check of a book format in LYRASIS",""
"passed","Sat Aug 05 18:36:14 GMT 2023","Sat Aug 05 18:37:38 GMT 2023","84397","","Catalog Navigation","","Check of the titles of books sections in Palace","","Check of the titles of books sections in Palace",""
"failed","Sat Aug 05 19:54:05 GMT 2023","Sat Aug 05 19:59:19 GMT 2023","313802","","Read EPUB from Overdrive in A1QA","","Epub: Delete bookmarks","","Epub: Delete bookmarks",""
"passed","Sat Aug 05 18:24:14 GMT 2023","Sat Aug 05 18:26:08 GMT 2023","113429","","Book detail view screen","","Check of a book title and author in LYRASIS","","Check of a book title and author in LYRASIS",""
"passed","Sat Aug 05 18:32:59 GMT 2023","Sat Aug 05 18:34:45 GMT 2023","105451","","Catalog Navigation","","Return to last library catalog","","Return to last library catalog",""
"passed","Sat Aug 05 20:12:28 GMT 2023","Sat Aug 05 20:13:07 GMT 2023","38759","","Search libraries and books","","Enter invalid data","","Enter invalid data",""
"passed","Sat Aug 05 20:34:18 GMT 2023","Sat Aug 05 20:35:18 GMT 2023","60302","","Search libraries and books","","Check that books from search result contain one or more entered latin letters or numeric in LYRASIS","","Check that books from search result contain one or more entered latin letters or numeric in LYRASIS",""
"passed","Sat Aug 05 19:00:37 GMT 2023","Sat Aug 05 19:02:35 GMT 2023","118330","","Book detail view screen","","Check of a ""More..."" button in Description section in LYRASIS","","Check of a ""More..."" button in Description section in LYRASIS",""
"passed","Sat Aug 05 18:26:34 GMT 2023","Sat Aug 05 18:32:27 GMT 2023","353416","","Audiobooks in A1QA library","","Audiobooks: Navigate by Audiobook","","Audiobooks: Navigate by Audiobook",""
"passed","Sat Aug 05 18:43:16 GMT 2023","Sat Aug 05 18:45:19 GMT 2023","122755","","Book detail view screen","","Check of a book format in LYRASIS","","Check of a book format in LYRASIS",""
