2023-09-03 07:17:53 INFO  - Scenario 'Check of GET button' start
2023-09-03 07:17:54 INFO  - Setting application driver using the server on 'https://hub-cloud.browserstack.com/wd/hub'
2023-09-03 07:18:23 INFO  - Application on platform 'ANDROID' is ready...
2023-09-03 07:18:23 INFO  - Session id - 5e5aa6460e04f232a3a624bbafa2b261fa1e25b8
2023-09-03 07:18:23 INFO  - Step 0 - Close tutorial screen
2023-09-03 07:18:23 INFO  - Button 'btnCloseTutorial' :: Clicking
2023-09-03 07:18:25 INFO  - Step 1 - Welcome screen is opened
2023-09-03 07:18:26 INFO  - Step 2 - Close welcome screen
2023-09-03 07:18:26 INFO  - Button 'btnFindLibrary' :: Clicking
2023-09-03 07:18:26 INFO  - Step 3 - Add library screen is opened
2023-09-03 07:18:28 INFO  - Step 4 - Add library "Palace Bookshelf" on Add library screen
2023-09-03 07:18:28 INFO  - Button 'Search' :: Clicking
2023-09-03 07:18:29 INFO  - Text Field 'Search' :: Clearing
2023-09-03 07:18:29 INFO  - Text Field 'Search' :: Typing 'Palace Bookshelf'
2023-09-03 07:18:33 INFO  - Button 'Palace Bookshelf' :: Clicking
2023-09-03 07:18:33 INFO  - Step 5 - Account "Palace Bookshelf" is present on Accounts screen
2023-09-03 07:18:33 INFO  - Button 'tabSettings' :: Clicking
2023-09-03 07:18:35 INFO  - Button 'tabSettings' :: Clicking
2023-09-03 07:18:35 INFO  - Button 'Accounts' :: Clicking
2023-09-03 07:18:37 INFO  - Step 6 - Open Catalog
2023-09-03 07:18:37 INFO  - Button 'tabCatalog' :: Clicking
2023-09-03 07:18:58 INFO  - Step 7 - Open search modal
2023-09-03 07:19:18 INFO  - Button 'Search' :: Clicking
2023-09-03 07:19:20 INFO  - Step 8 - Search for 'Flower Fables' and save bookName as 'bookNameInfo'
2023-09-03 07:19:20 INFO  - Error details button is not present
2023-09-03 07:19:20 INFO  - Text Field 'Search value input' :: Sending keys 'Flower Fables'
2023-09-03 07:19:24 INFO  - Error details button is not present
2023-09-03 07:19:25 INFO  - Step 9 - Check that book 'bookNameInfo' contains GET action button on catalog book screen
2023-09-03 07:19:25 INFO  - Step 10 - Click GET action button on EBOOK book with 'bookNameInfo' bookName on catalog books screen and save book as 'bookInfo'
2023-09-03 07:19:26 INFO  - Label 'lblAuthor' :: Getting text from element
2023-09-03 07:19:26 INFO  - Button 'actionButton' :: Clicking
2023-09-03 07:19:28 INFO  - Step 11 - Check that book 'bookNameInfo' contains READ action button on catalog book screen
2023-09-03 07:19:28 INFO  - Step 12 - Check that book 'bookNameInfo' contains RETURN action button on catalog book screen
2023-09-03 07:19:28 INFO  - Taking screenshot
2023-09-03 07:19:29 INFO  - Unlocking credential for current thread
2023-09-03 07:19:29 INFO  - isLoggerNullAfterAnnotation-framework.utilities.Logger@687182c
