2023-09-16 18:07:23 INFO  - Scenario 'Check of a book title and author in LYRASIS' start
2023-09-16 18:07:24 INFO  - Setting application driver using the server on 'https://hub-cloud.browserstack.com/wd/hub'
2023-09-16 18:07:53 INFO  - Application on platform 'ANDROID' is ready...
2023-09-16 18:07:53 INFO  - Session id - 05fd70088ce82b52887fde991225f0e0b7aa5897
2023-09-16 18:07:53 INFO  - Step 0 - Close tutorial screen
2023-09-16 18:07:53 INFO  - Button 'btnCloseTutorial' :: Clicking
2023-09-16 18:07:56 INFO  - Step 1 - Welcome screen is opened
2023-09-16 18:07:56 INFO  - Step 2 - Close welcome screen
2023-09-16 18:07:57 INFO  - Button 'btnFindLibrary' :: Clicking
2023-09-16 18:07:57 INFO  - Step 3 - Add library screen is opened
2023-09-16 18:07:58 INFO  - Step 4 - Add library "LYRASIS Reads" on Add library screen
2023-09-16 18:07:58 INFO  - Button 'Search' :: Clicking
2023-09-16 18:07:59 INFO  - Text Field 'Search' :: Clearing
2023-09-16 18:07:59 INFO  - Text Field 'Search' :: Typing 'LYRASIS Reads'
2023-09-16 18:08:02 INFO  - Button 'LYRASIS Reads' :: Clicking
2023-09-16 18:08:04 INFO  - Step 5 - Account "LYRASIS Reads" is present on Accounts screen
2023-09-16 18:08:04 INFO  - Button 'tabSettings' :: Clicking
2023-09-16 18:08:04 INFO  - Button 'tabSettings' :: Clicking
2023-09-16 18:08:05 INFO  - Button 'Accounts' :: Clicking
2023-09-16 18:08:07 INFO  - Step 6 - Open Catalog
2023-09-16 18:08:07 INFO  - Button 'tabCatalog' :: Clicking
2023-09-16 18:08:28 INFO  - Step 7 - Open search modal
2023-09-16 18:08:48 INFO  - Button 'Search' :: Clicking
2023-09-16 18:08:49 INFO  - Step 8 - Search 'available' book of distributor 'Bibliotheca' and bookType 'EBOOK' from "LYRASIS Reads" and save as 'bookNameInfo'
2023-09-16 18:08:49 INFO  - Count of attempts to get random book name without bad symbols-2
2023-09-16 18:08:49 INFO  - randomBookName: Santa Cruise
2023-09-16 18:08:49 INFO  - Error details button is not present
2023-09-16 18:08:49 INFO  - Text Field 'Search value input' :: Sending keys 'Santa Cruise'
2023-09-16 18:08:52 INFO  - Error details button is not present
2023-09-16 18:08:54 INFO  - Step 9 - Switch to 'eBooks' catalog tab
2023-09-16 18:08:54 INFO  - Button 'eBooks' :: Clicking
2023-09-16 18:09:15 INFO  - Step 10 - Open EBOOK book with GET action button and 'bookNameInfo' bookName on catalog books screen and save book as 'bookInfo'
2023-09-16 18:09:16 INFO  - Label 'lblAuthor' :: Getting text from element
2023-09-16 18:09:16 INFO  - Label 'lblBookName' :: Clicking
2023-09-16 18:09:16 INFO  - Step 11 - Book 'bookInfo' is opened on book details screen
2023-09-16 18:09:16 INFO  - Label 'Book title' :: Getting text from element
2023-09-16 18:09:17 INFO  - Label 'Book Authors' :: Getting text from element
2023-09-16 18:09:18 INFO  - Label 'Book title' :: Getting text from element
2023-09-16 18:09:18 INFO  - Label 'Book Authors' :: Getting text from element
2023-09-16 18:09:18 INFO  - Step 12 - Book 'bookInfo' has correct title and author name on book details screen
2023-09-16 18:09:18 INFO  - Step 13 - The book cover is displayed on book details screen
2023-09-16 18:09:19 INFO  - Taking screenshot
2023-09-16 18:09:19 INFO  - isLoggerNullAfterAnnotation-framework.utilities.Logger@5d7db480
